535,20250101,20250113,20250108,11051,SO74253,"24,99"
528,20250101,20250113,20250108,11051,SO74253,"4,99"
222,20250101,20250113,20250108,11051,SO74253,"34,99"
535,20250101,20250113,20250108,11079,SO74254,"24,99"
539,20250101,20250113,20250108,15154,SO74255,"24,99"
536,20250101,20250113,20250108,17250,SO74256,"29,99"
528,20250101,20250113,20250108,17250,SO74256,"4,99"
485,20250101,20250113,20250108,19091,SO74257,"21,98"
485,20250101,20250113,20250108,18304,SO74258,"21,98"
480,20250101,20250113,20250108,18304,SO74258,"2,29"
476,20250101,20250113,20250108,26772,SO74259,"69,99"
489,20250101,20250113,20250108,26772,SO74259,"53,99"
541,20250101,20250113,20250108,16486,SO74260,"28,99"
530,20250101,20250113,20250108,16486,SO74260,"4,99"
480,20250101,20250113,20250108,16486,SO74260,"2,29"
222,20250101,20250113,20250108,11733,SO74261,"34,99"
530,20250101,20250113,20250108,28258,SO74262,"4,99"
480,20250101,20250113,20250108,28258,SO74262,"2,29"
540,20250101,20250113,20250108,25189,SO74263,"32,60"
483,20250101,20250113,20250108,25189,SO74263,"120,00"
536,20250101,20250113,20250108,22187,SO74264,"29,99"
480,20250101,20250113,20250108,22187,SO74264,"2,29"
528,20250101,20250113,20250108,22105,SO74265,"4,99"
536,20250101,20250113,20250108,22105,SO74265,"29,99"
480,20250101,20250113,20250108,22105,SO74265,"2,29"
484,20250101,20250113,20250108,22105,SO74265,"7,95"
475,20250101,20250113,20250108,20757,SO74266,"69,99"
477,20250101,20250113,20250108,16368,SO74267,"4,99"
217,20250101,20250113,20250108,16368,SO74267,"34,99"
228,20250101,20250113,20250108,16368,SO74267,"49,99"
225,20250101,20250113,20250108,16368,SO74267,"8,99"
528,20250101,20250113,20250108,21925,SO74268,"4,99"
480,20250101,20250113,20250108,21925,SO74268,"2,29"
475,20250101,20250113,20250108,14546,SO74269,"69,99"
491,20250101,20250113,20250108,14546,SO74269,"53,99"
477,20250101,20250113,20250108,23768,SO74270,"4,99"
465,20250101,20250113,20250108,23768,SO74270,"24,49"
529,20250101,20250113,20250108,12606,SO74271,"3,99"
